=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.08.02 13:00:56 =~=~=~=~=~=~=~=~=~=~=~=
sound= 153
loudness= 60	sound= 146
	sound= 138
ludness= 60	sound= 155
loudness= 60	ound= 160
s= 60	sound= 156
loudness= 60	sound= 142
loudness= 60	oudness= 59	= 155
loudness= 60	sound= 162
loudness= 60	sound= 158
loudness= 60	sound= 141
loudness= 59	sound= 144
loudness= 60	sound= 165
loudness= 60	sound= 158
loudness= 60	sound= 15559	 138
loudness= 59	sound= 150
loudness= 60	sound= 153
loudness= 60	sound= 151
loudness= 60	sound= 149
 59	sound= 151
loudness= 59	sound= 139
loudness= 60	sound= 153
loudness= 60	sound= 146
loudness= 60	sound= 144
loudness= 59	sound= 154
loudness= 60	oudness= 60	sound= 144
	sound= 163
loudness= 60	sound= 141
loudness= 59	sound= 148
loudness= 60	sound= 159
loudness= 60	sound= 144
loudness= 60	sound= 157
loudness= 59	sound= 149
loudness= 60	
loudness= 60	sound= 150
loudness= 60	sound= 149
loud= 59	sound= 144
loudness= 60	sound= 159
= 60	sound= 159
loudness= 60	sound= 147
loudness= 60	sound= 154
loudness= 59	sound= 151
loudnessnd= 152
loudness= 60	174
ess= 60	sound= 149
loudness= 60	sound= 157
loudness= 59	sound= 151
loudness= 59	soun37
loudness= 60	sound= 162
loudness= 60	sound= 152
loudness= 60	sound= 147
loudness= 59	sound= 146
loudness= 60	52
loudness= 60	sound= 158
loudness= 60	sound= 153
loudness= 60	sound= 157
loudness= 59	sound= 145
loudness= 60	sound= 166
loudness= 60	sound= 171
loudness= 60	sound= 156
louss= 59	sound= 150
loudness= 59	sound= 155
loudness= 59	sound= 152
loudness= 60	sound= 151
loudness= 60	sound= 143
loudness= 60	sound= 140
loudness= 60	sound= 148
loudness= 60	sound= 166
loudness= 60	sound= 158
loudness=sound= 166
ness= 59	und= 147
loudness= 60	sound= 155
loudness= 60	nd= 167
loudness= 60	sound= 148
loudness= 59	sound= 153
loudness= 60	sound= 158
loudness= 60	sound= 161
loness= 60	sound= 163
loudness= 60	sound= 159
loudness= 59	sound= 146
loudness= 59	sound= 156
= 60	sound= 166
loudness= 161
loudness= 60	sound= 158
loudness= 60	soundess= 59	sound= 151
loudness= 59	sound= 163
loudness= 60	
loudness= 59	sound= 153
loudness= 59	d= 163
loudness= 60	sound= 161
loudness= 60	nd= 154
loudness= 60	 155
loudness= 60	sound= 151
loudness= 60	sound= 150
loudness= 59	sound= 166
loudness= 60	sound= 170
loudness= 60	sound= 146
loudness= 60	sound= 155
loudness= 59	sound= 153
loudness= 60	sound= 160
loudness= 60	d= 157
 60	sound= 156
loudness= 59	sound= 163
loudness= 60	sound= 159
loudness= 60	sound= 149
loudness= 60	sound= 161
loudness= 60	sound= 144
loudness= 60	sound= 143
loudness= 60	sound= 153
loudness= 60	sound= 161
loudness= 60	sound= 158
loudness= 59	sound= 155
loudness= 59	sound= 152
loudness= 60	sound= 152
loudness= 60	sound= 166
loudness= 59	d= 155
loudness= 60	sound= 156
loudness= 59	oudness= 59	sound= 167
loudness= 60	sound= 161
loudness= 60	sound= 143
loudness= 60	sound= 164
loudness= 60	 152
oudness= 60	sound= 156
loudness= 60	sound= 156
59	sound= 143
loudness= 59	sound= 158
loudness= 59	sound= 152
loudness= 60	sound= 161
loudness= 60	sound= 155
loudness= 59	
