Data collection time 2:25PM-2:45,Data
2023-08-23 14:25:00,6.6
2023-08-23 14:25:20,0
2023-08-23 14:27:00,0
2023-08-23 14:28:00,0
2023-08-23 14:29:00,0
2023-08-23 14:30:00,0
2023-08-23 14:31:00,0
2023-08-23 14:32:00,0
2023-08-23 14:33:00,0
2023-08-23 14:34:00,0
2023-08-23 14:35:00,0
2023-08-23 14:36:00,0
2023-08-23 14:37:00,4.2
2023-08-23 14:38:00,12
2023-08-23 14:39:00,11.6
2023-08-23 14:40:00,11.8
2023-08-23 14:41:00,11.8
2023-08-23 14:42:00,11.4
2023-08-23 14:43:00,11.4
2023-08-23 14:44:00,11
2023-08-23 14:45:00,10.8
